Municipi,pc_hotel,pc_llvac
Andratx,3586,2287
Calvia,61325,3298
Estellencs,153,169
Puigpunyent,186,412
Banyalbufar,231,394
Esporles,207,598
Palma,50273,4353
Valldemossa,334,862
Bunyola,268,663
Marratxi,57,1171
Deia,475,678
Soller,3315,3267
Fornalutx,147,491
Escorca,10,137
Alaro,212,960
StaMaria,133,477
Consell,50,230
StaEugenia,12,251
Mancor,22,331
Lloseta,63,378
Binissalem,78,721
Sencelles,153,798
Algaida,209,975
Llucmajor,13716,4253
Selva,360,1516
Inca,132,1365
Costitx,41,349
Lloret,58,281
Montuiri,217,410
Porreres,254,713
Campos,834,3638
Pollenca,7564,14158
Campanet,228,989
Buger,22,682
Llubi,38,466
Sineu,131,882
StJoan,28,400
Alcudia,27941,8236
SaPobla,49,1772
Muro,16934,1997
StaMargalida,13520,3792
Maria,122,523
Ariany,109,515
Petra,117,756
Vilafranca,88,265
Felanitx,6043,5220
Santanyi,16807,7703
SesSalines,4114,1314
Arta,650,3478
Capdepera,19396,3042
SonServera,11757,2104
StLlorenc,26238,2290
Manacor,15708,5929
